,percentile,age,survival_rate,death_rate
504,15-20%,84,0.36203952310594645,0.030798328055815172
505,15-20%,85,0.3312411950501313,0.03143616493787993
506,15-20%,86,0.29980503011225135,0.031771422369249624
507,15-20%,87,0.2680336077430017,0.031727217717055306
508,15-20%,88,0.23630639002594642,0.031234147877938878
509,15-20%,89,0.20507224214800754,0.030239388243383736
510,15-20%,90,0.1748328539046238,0.028716767821371114
511,15-20%,91,0.1461160860832527,0.026676287701365473
512,15-20%,92,0.11943979838188722,0.024171025825748357
513,15-20%,93,0.09526877255613886,0.0213054835937634
514,15-20%,94,0.07396328896237546,0.018228612470082922
515,15-20%,95,0.05573467649229254,0.015101296222748757
516,15-20%,96,0.04063338026954378,0.012078995574624898
517,15-20%,97,0.02855438469491888,0.009296952138042602
518,15-20%,98,0.01925743255687628,0.006858038116773796
519,15-20%,99,0.012399394440102483,0.004733771163407092
520,15-20%,100,0.007665623276695391,0.0029856585989885597
521,15-20%,101,0.004679964677706832,0.0018971734060165687
522,15-20%,102,0.002782791271690263,0.0011978508749083605
523,15-20%,103,0.0015849403967819024,0.0007244238259591183
524,15-20%,104,0.0008605165708227841,0.0008605165708227841
525,20-25%,0,1.0,0.0033029955990964144
526,20-25%,1,0.9966970044009036,0.000577828221846044
527,20-25%,2,0.9961191761790575,0.00022334032277548932
528,20-25%,3,0.995895835856282,0.00016541748387999267
529,20-25%,4,0.9957304183724021,0.00012880586787589188
530,20-25%,5,0.9956016125045262,0.0001086549216774424
531,20-25%,6,0.9954929575828487,0.0001002901879575413
532,20-25%,7,0.9953926673948912,8.717931713120297e-05
533,20-25%,8,0.99530548807776,7.809136811520734e-05
534,20-25%,9,0.9952273967096448,7.353791065467519e-05
535,20-25%,10,0.9951538587989901,7.353247689723119e-05
536,20-25%,11,0.9950803263220929,7.501238834894952e-05
537,20-25%,12,0.9950053139337439,8.044533551176958e-05
538,20-25%,13,0.9949248685982321,9.727062471776016e-05
539,20-25%,14,0.9948275979735144,0.0001236431096500734
540,20-25%,15,0.9947039548638643,0.00015874116363756574
541,20-25%,16,0.9945452137002267,0.0002037951606703725
542,20-25%,17,0.9943414185395564,0.00027503832211683843
543,20-25%,18,0.9940663802174395,0.00036381074435776206
544,20-25%,19,0.9937025694730818,0.00044866107114294174
545,20-25%,20,0.9932539084019388,0.0005067840165521309
546,20-25%,21,0.9927471243853867,0.0005343312117855881
547,20-25%,22,0.9922127931736011,0.0005636407009944611
548,20-25%,23,0.9916491524726067,0.0005949552024026028
549,20-25%,24,0.991054197270204,0.0006285533454176706
550,20-25%,25,0.9904256439247864,0.0006647551137031193
551,20-25%,26,0.9897608888110833,0.000703928370670126
552,20-25%,27,0.9890569604404131,0.0007464966982588805
553,20-25%,28,0.9883104637421543,0.0007929484038950996
554,20-25%,29,0.9875175153382592,0.0008438440066078634
555,20-25%,30,0.9866736713316513,0.0008998306318451776
556,20-25%,31,0.9857738406998061,0.0009616600864925662
557,20-25%,32,0.9848121806133135,0.0010302085087460222
558,20-25%,33,0.9837819721045675,0.0011065002189347695
559,20-25%,34,0.9826754718856328,0.001191736776154917
560,20-25%,35,0.9814837351094778,0.0012873324750038995
561,20-25%,36,0.9801964026344739,0.0013949287309177327
562,20-25%,37,0.9788014739035562,0.0015161083878144632
563,20-25%,38,0.9772853655157417,0.0016524403971489576
564,20-25%,39,0.9756329251185928,0.0018056654284623885
565,20-25%,40,0.9738272596901304,0.0019777092539482455
566,20-25%,41,0.9718495504361822,0.0021706914692688484
567,20-25%,42,0.9696788589669133,0.0023869317081912644
568,20-25%,43,0.967291927258722,0.002628952259993267
569,20-25%,44,0.9646629749987288,0.002899455477835211
570,20-25%,45,0.9617635195208936,0.0032010120471230863
571,20-25%,46,0.9585625074737705,0.0035359687791003402
572,20-25%,47,0.9550265386946701,0.003906526603397742
573,20-25%,48,0.9511200120912724,0.00431463442075275
574,20-25%,49,0.9468053776705196,0.0047618564763795
575,20-25%,50,0.9420435211941401,0.005249217943075535
576,20-25%,51,0.9367943032510646,0.005777030614739553
577,20-25%,52,0.931017272636325,0.006344711032771899
578,20-25%,53,0.9246725616035532,0.006950736636671562
579,20-25%,54,0.9177218249668816,0.007592495665938226
580,20-25%,55,0.9101293293009434,0.008266015060161891
581,20-25%,56,0.9018633142407815,0.00896580804679703
582,20-25%,57,0.8928975061939844,0.009684764971391813
583,20-25%,58,0.8832127412225926,0.01041410069323323
584,20-25%,59,0.8727986405293594,0.011143375720425786
585,20-25%,60,0.8616552648089336,0.011860822044410968
586,20-25%,61,0.8497944427645227,0.012558631165475953
587,20-25%,62,0.8372358115990467,0.013234569536320628
588,20-25%,63,0.8240012420627261,0.013887868543636439
589,20-25%,64,0.8101133735190896,0.014519010340585226
590,20-25%,65,0.7955943631785044,0.015129683420076478
591,20-25%,66,0.7804646797584279,0.015722711605053896
592,20-25%,67,0.764741968153374,0.016301965308333277
593,20-25%,68,0.7484400028450408,0.016872331616642477
594,20-25%,69,0.7315676712283983,0.017441722356422606
595,20-25%,70,0.7141259488719757,0.018021644947301074
596,20-25%,71,0.6961043039246746,0.018624925259469682
597,20-25%,72,0.6774793786652049,0.01926551454007719
598,20-25%,73,0.6582138641251277,0.01995847858470412
599,20-25%,74,0.6382553855404236,0.020720020759759095
600,20-25%,75,0.6175353647806645,0.021567514305088187
601,20-25%,76,0.5959678504755763,0.02251920832762133
602,20-25%,77,0.573448642147955,0.023581204422542856
603,20-25%,78,0.5498674377254121,0.024739496308784803
604,20-25%,79,0.5251279414166273,0.02597331057079527
605,20-25%,80,0.49915463084583206,0.027254753299618906
606,20-25%,81,0.47189987754621315,0.028547319062378118
607,20-25%,82,0.44335255848383504,0.029804651396403925
608,20-25%,83,0.4135479070874311,0.030969826532449174
609,20-25%,84,0.38257808055498194,0.03197551694818346
610,20-25%,85,0.3506025636067985,0.03274531159046151
611,20-25%,86,0.31785725201633697,0.033196858320728384
612,20-25%,87,0.2846603936956086,0.03324749824002482
613,20-25%,88,0.25141289545558376,0.03282197878113327
614,20-25%,89,0.2185909166744505,0.03186212959331006
615,20-25%,90,0.18672878708114043,0.030337627145993584
616,20-25%,91,0.15639115993514685,0.028256236711844157
617,20-25%,92,0.1281349232233027,0.025671359726860563
618,20-25%,93,0.10246356349644213,0.022691189131918296
619,20-25%,94,0.07977237436452383,0.019471792923156685
620,20-25%,95,0.06030058144136715,0.01618299840687342
621,20-25%,96,0.04411758303449373,0.012990054601467696
622,20-25%,97,0.031127528433026033,0.010037894868711435
623,20-25%,98,0.0210896335643146,0.007438099866106744
624,20-25%,99,0.013651533698207855,0.005108605185826788
625,20-25%,100,0.008542928512381066,0.003261471262835597
626,20-25%,101,0.005281457249545469,0.00209861287108687
627,20-25%,102,0.0031828443784585993,0.0013429246237232752
628,20-25%,103,0.0018399197547353241,0.0008243142042998375
629,20-25%,104,0.0010156055504354866,0.0010156055504354866
